Starting cal age BP	calendar age	 14C age BP	 total 14C uncertainty	 cal yr span	 cal year uncertainty	 wiggle match uncertainty	 varve count uncertainty	Lab ID	 dataset number	 observation number
YR BP	YR BP	YR BP	YR	YR	YR					
13420	13427.5	11660	58.3	16	0	16	35.8	CAMS-54795	15	1
13403	13411	11550	50	17	0	16	35.8	CAMS-61605	15	1
13397	13397	11470	85.4	1	33	0	0	CAMS 76140	11	107
13386	13394	11580	58.3	17	0	16	35.8	CAMS-54794	15	1
13369	13377	11500	58.3	17	0	16	35.8	CAMS-61604	15	1
13365	13365	11440	85.4	1	21	0	0	CAMS 77429	11	108
13354	13360.5	11570	58.3	14	0	16	34.8	CAMS-54793	15	1
13340	13346.5	11580	50	14	0	16	34.8	CAMS-61603	15	1
13335	13335	11710	145.6	1	15	0	0	tahiti	10	21
13328	13332.5	11490	58.3	10	0	16	34.8	CAMS-54792	15	1
13318	13322.5	11510	58.3	10	0	16	34.8	CAMS-61602	15	1
13308	13312.5	11460	58.3	10	0	16	34.8	CAMS-57316	15	1
13298	13302.5	11510	58.3	10	0	16	34.8	CAMS-61601	15	1
13288	13292.5	11490	58.3	10	0	16	34.8	CAMS-54791	15	1
13287	13287	11476	126.2	1	83	0	0	tasmaloum	14	13
13278	13282.5	11410	50	10	0	16	34.8	CAMS-61600	15	1
13268	13272.5	11450	50	10	0	16	34.8	CAMS-54790	15	1
13257	13262	11410	50	11	0	16	34.8	CAMS-61599	15	1
13247	13251.5	11360	50	10	0	16	34.8	CAMS-54789	15	1
13237	13241.5	11330	50	10	0	16	34.8	CAMS-61598	15	1
13227	13231.5	11260	50	10	0	16	34.8	CAMS-54788	15	1
13227	13231.5	11370	50	10	0	16	34.8	CAMS-56392	15	1
13217	13221.5	11380	50	10	0	16	34.8	CAMS-61597	15	1
13207	13211.5	11320	50	10	0	16	34.8	CAMS-54787	15	1
13196	13201	11340	50	11	0	16	34.8	CAMS-61596	15	1
13186	13190.5	11340	50	10	0	16	34.8	CAMS-54786	15	1
13176	13180.5	11270	50	10	0	16	33.8	CAMS-61595	15	1
13175	13175	11090	83.8	1	12.5	0	0	CAMS 99626	11	14
13166	13170.5	11340	58.3	10	0	16	33.8	CAMS-54467	15	1
13166	13170.5	11330	50	10	0	16	33.8	CAMS-56391	15	1
13156	13160.5	11290	42.4	10	0	16	33.8	CAMS-62374	15	1
13152	13152	10980	210.8	1	41.6	0	0	Gif (AMS)	11	9
13152	13152	11060	197	1	41.6	0	0	Gif (AMS)	11	10
13152	13152	11385	217.7	1	41.6	0	0	Gif (AMS)	11	11
13152	13152	11420	238.8	1	41.6	0	0	Gif (AMS)	11	12
13152	13152	11680	224.7	1	41.6	0	0	Gif (AMS)	11	13
13146	13150.5	11290	58.3	10	0	16	33.8	CAMS-54466	15	1
13136	13140.5	11270	50	10	0	16	33.8	CAMS-61594	15	1
13129	13129	10887	157.6	1	42	0	0	AA	12	2
13126	13130.5	11230	50	10	0	16	33.8	CAMS-54465	15	1
13117	13117	11330	85.4	1	29	0	0	CAMS 77439	11	109
13116	13120.5	11270	50	10	0	16	33.8	CAMS-61593	15	1
13106	13110.5	11250	50	10	0	16	33.8	CAMS-54464	15	1
13100	13100	11310	109.7	1	40	0	0	barbados	10	1
13095	13100	11230	50	11	0	16	32.8	CAMS-61592	15	1
13089	13090	11011	150.5	3	15	0	0	AA	13	55
13085	13089.5	11270	50	10	0	16	32.8	CAMS-54463	15	1
13083	13085	10992	150.5	5	15	0	0	AA	13	54
13078	13080	10941	149.4	5	15	0	0	AA	13	53
13075	13079.5	11200	50	10	0	16	31.8	CAMS-62030	15	1
13073	13075	10866	154.1	5	15	0	0	AA	13	52
13068	13070	11047	151.2	5	15	0	0	AA	13	51
13065	13069.5	11110	50	10	0	16	30.8	CAMS-54462	15	1
13065	13069.5	11280	50	10	0	16	30.8	CAMS-63247	15	1
13065	13065	11450	192.1	1	15	0	0	tahiti	10	20
13063	13065	11034	149.4	5	15	0	0	AA	13	50
13058	13060	10983	153.4	5	15	0	0	AA	13	49
13055	13059.5	11190	50	10	0	16	30.8	CAMS-62031	15	1
13053	13055	10983	149.4	5	15	0	0	AA	13	48
13048	13050	11031	148.9	5	15	0	0	AA	13	47
13045	13049.5	11180	50	10	0	16	29.8	CAMS-54461	15	1
13045	13049.5	11200	50	10	0	16	29.8	CAMS-63246	15	1
13043	13045	10986	152.5	5	15	0	0	AA	13	46
13038	13040	11002	149.9	5	15	0	0	AA	13	45
13035	13039.5	11090	50	10	0	16	29.8	CAMS-62373	15	1
13033	13035	10875	153.3	5	15	0	0	AA	13	44
13028	13030	10922	152.5	5	15	0	0	AA	13	43
13026	13029.5	11230	58.3	8	0	16	28.8	CAMS-54460	15	1
13023	13025	10926	149.4	5	15	0	0	AA	13	42
13018	13020	10872	153.3	5	15	0	0	AA	13	41
13017	13021	11180	58.3	9	0	16	28.8	CAMS-62032	15	1
13013	13015	10948	159.6	5	15	0	0	AA	13	40
13009	13012.5	11200	58.3	8	0	16	28.8	CAMS-54459	15	1
13000	13004	11150	50	9	0	16	28.8	CAMS-62033	15	1
12995	12995	11170	85.4	1	28	0	0	CAMS 76148	11	110
12995	12995	11100	85.4	1	28	0	0	CAMS 76156	11	111
12992	12995.5	11180	58.3	8	0	16	27.8	CAMS-54458	15	1
12990	12990	11045	83.8	1	11.8	0	0	CAMS 99625	11	8
12990	12990	11080	85.4	1	28	0	0	CAMS 75368	11	112
12983	12987	11100	50	9	0	16	27.8	CAMS-62034	15	1
12974	12978	11160	50	9	0	16	27.8	CAMS-54457	15	1
12966	12969.5	11130	50	8	0	16	27.8	CAMS-62035	15	1
12961	12961	11110	85.4	1	30	0	0	CAMS 77020	11	113
12959	12959	11090	85.4	1	20.5	0	0	CAMS 75378	11	114
12957	12961	11080	58.3	9	0	16	27.8	CAMS-54456	15	1
12949	12952.5	11050	50	8	0	16	27.8	CAMS-62036	15	1
12942	12942	11120	85.4	1	48	0	0	CAMS 81549	11	115
12942	12942	11090	85.4	1	48	0	0	CAMS 76142	11	116
12941	12944.5	11020	50	8	0	16	27.8	CAMS-54455	15	1
12938	12938	10835	170	1	63	0	0	papua	14	32
12932	12936	11020	50	9	0	16	27.8	CAMS-62037	15	1
12923	12927	10990	50	9	0	16	27.8	CAMS-54454	15	1
12915	12918.5	10900	50	8	0	16	26.8	CAMS-62038	15	1
12907	12910.5	10960	58.3	8	0	16	26.8	CAMS-54453	15	1
12905	12905	11110	169.7	1	25	0	0	tahiti	10	18
12905	12905	11250	150	1	15	0	0	tahiti	10	19
12898	12902	10900	50	9	0	16	26.8	CAMS-62039	15	1
12890	12893.5	10880	50	8	0	16	26.8	CAMS-54452	15	1
12886	12886	11130	120.9	1	31.5	0	0	tasmaloum	14	12
12881	12885	10850	50	9	0	16	26.8	CAMS-62040	15	1
12875	12875	10850	159.5	1	20	0	0	tahiti	10	17
12873	12876.5	10870	50	8	0	16	26.8	CAMS-54451	15	1
12873	12873	11035	87.3	1	24	0	0	CAMS 96026	11	7
12865	12865	11050	169.7	1	25	0	0	tahiti	10	16
12864	12868	10860	50	9	0	16	26.8	CAMS-62041	15	1
12856	12859.5	10870	50	8	0	16	25.8	CAMS-53658	15	1
12847	12851	10730	50	9	0	16	25.8	CAMS-62042	15	1
12844	12844	10850	85.4	1	38.5	0	0	CAMS 99624	11	6
12839	12842.5	10720	50	8	0	16	25.8	CAMS-53657	15	1
12838	12838	11090	85.4	1	46.5	0	0	CAMS 76151	11	117
12838	12838	11020	85.4	1	46.5	0	0	CAMS 77447	11	118
12838	12838	10970	85.4	1	46.5	0	0	CAMS 76138	11	119
12837	12837	10897	157.6	1	34	0	0	AA	12	1
12836	12836	10960	85.4	1	25	0	0	CAMS 75376	11	120
12830	12834	10680	50	9	0	16	25.8	CAMS-62043	15	1
12822	12825	10670	50	7	0	16	25.8	CAMS-53656	15	1
12814	12818.5	10740	50	10	0	16	25.8	CAMS-62044	15	1
12803	12808	10660	67.1	11	0	16	24.8	CAMS-53655	15	1
12800	12800	10820	169.7	1	15	0	0	tahiti	10	15
12792	12797	10680	50	11	0	16	24.8	CAMS-62045	15	1
12786	12786	10465	85.4	1	20.6	0	0	CAMS 99008	11	5
12785	12785	10970	85.4	1	29.5	0	0	CAMS 75380	11	121
12784	12786	10610	50	5	0	16	24.8	CAMS-53654	15	1
12779	12781.5	10590	50	6	0	16	24.3	CAMS-66287	15	1
12770	12775	10540	58.3	11	0	16	23.8	CAMS-53653	15	1
12760	12764.5	10570	42.4	10	0	16	23.8	CAMS-66286	15	1
12749	12754	10560	50	11	0	16	23.8	CAMS-53652	15	1
12740	12740	10736	145	1	24	0	0	tasmaloum	14	11
12738	12743.5	10650	67.1	12	0	16	23.3	CAMS-66285	15	1
12726	12731.5	10580	58.3	12	0	16	22.8	CAMS-53651	15	1
12716	12716	10950	85.4	1	27.5	0	0	CAMS 75372	11	122
12714	12719.5	10540	50	12	0	16	22.8	CAMS-66284	15	1
12710	12710	11110	169.7	1	25	0	0	tahiti	10	14
12709	12709	10720	85.4	1	51	0	0	CAMS 75371	11	123
12702	12707	10560	50	11	0	16	22.8	CAMS-53650	15	1
12695	12695	11030	169.7	1	30	0	0	tahiti	10	13
12691	12696	10570	50	11	0	16	22.8	CAMS-66283	15	1
12681	12685.5	10600	50	10	0	16	22.8	CAMS-53649	15	1
12680	12680	10490	89.4	1	74.5	0	0	CAMS 77012	11	3
12680	12680	10670	87.3	1	74.5	0	0	CAMS 96025	11	4
12670	12675	10550	42.4	11	0	16	22.8	CAMS-66282	15	1
12659	12664	10610	50	11	0	16	22.8	CAMS-53648	15	1
12648	12653.5	10470	42.4	12	0	16	22.8	CAMS-66281	15	1
12640	12640	10620	112.4	1	9.5	0	0	tasmaloum	14	10
12636	12641	10500	50	11	0	16	22.8	CAMS-53647	15	1
12633	12633	10400	85.4	1	41.5	0	0	CAMS 76143	11	124
12633	12633	10370	85.4	1	41.5	0	0	CAMS 76157	11	125
12630	12630	11027	169.7	1	34	0	0	urlepa	14	2
12625	12630	10560	42.4	11	0	16	22.3	CAMS-66280	15	1
12614	12619	10490	50	11	0	16	21.8	CAMS-53646	15	1
12611	12611	10570	85.4	1	37.5	0	0	CAMS 77430	11	126
12610	12610	10856	121.1	1	24.5	0	0	urlepa	14	1
12603	12608.5	10490	42.4	12	0	16	21.8	CAMS-66279	15	1
12586	12596.5	10490	58.3	22	0	16	21.8	CAMS-53645	15	1
12569	12574	10480	50	11	0	16	21.8	CAMS-62796	15	1
12558	12563	10460	58.3	11	0	16	21.8	CAMS-53644	15	1
12553	12553	10520	85.4	1	46.5	0	0	CAMS 77443	11	127
12547	12552	10430	42.4	11	0	16	21.8	CAMS-62795	15	1
12542	12542	10440	162.5	1	65	0	0	papua	14	31
12536	12541	10470	50	11	0	16	21.8	CAMS-53643	15	1
12533	12533	10525	83.8	1	25.5	0	0	CAMS 81550	11	1
12533	12533	10440	83.8	1	25.5	0	0	CAMS 82278	11	2
12526	12526	10400	85.4	1	40	0	0	CAMS 77433	11	128
12525	12530.5	10440	42.4	12	0	16	20.8	CAMS-62794	15	1
12513	12518.5	10500	50	12	0	16	20.8	CAMS-51159	15	1
12501	12506.5	10500	50	12	0	16	20.8	CAMS-62793	15	1
12489	12494	10560	50	11	0	16	20.8	CAMS-51158	15	1
12478	12483.5	10480	42.4	12	0	16	20.8	CAMS-62792	15	1
12466	12471.5	10460	50	12	0	16	19.8	CAMS-51157	15	1
12461	12461	10400	85.4	1	45	0	0	CAMS 75379	11	129
12453	12459	10430	50	13	0	16	19.8	CAMS-62791	15	1
12449	12449	10330	186	1	32	0	0	papua	14	30
12441	12446	10510	50	11	0	16	19.8	CAMS-51156	15	1
12439	12439	10626.1	147.3	1	9	0	0	AA-16611	13	1
12438	12438	10603.6	128.4	1	9	0	0	AA-16612	13	2
12437	12437	10696.9	130.8	1	9	0	0	AA-16613	13	3
12436	12436	10606.8	132.2	1	9	0	0	AA-16614	13	4
12435	12435	10638.9	132.4	1	9	0	0	AA-16615	13	5
12434	12434	10638.9	130.5	1	9	0	0	AA-16616	13	6
